2012-eric-greitens-tufts-university.txt,Eric Greitens,Tufts University,2012
2005-estelle-parsons-connecticut-college.txt,Estelle Parsons,Connecticut College,2005
2009-eugene-mirman-lexington-high-school.txt,Eugene Mirman,Lexington High School,2009
2009-fareed-zakaria-bates-college.txt,Fareed Zakaria,Bates College,2009
2007-frank-mccourt-syracuse-university.txt,Frank McCourt,Syracuse University,2007
1932-franklin-d-roosevelt-oglethorpe-university.txt,Franklin D. Roosevelt,Oglethorpe University,1932
2002-fred-rogers-dartmouth-college.txt,Fred Rogers,Dartmouth College,2002
2009-gabrielle-giffords-scripps-college.txt,Gabrielle Giffords,Scripps College,2009
2011-gary-malkowski-gallaudet-university.txt,Gary Malkowski,Gallaudet University,2011
1947-george-c-marshall-harvard-university.txt,George C. Marshall,Harvard University,1947
2013-george-saunders-syracuse-university.txt,George Saunders,Syracuse University,2013
2005-george-w-bush-calvin-college.txt,George W. Bush,Calvin College,2005
1975-gerald-ford-chicago-state-university.txt,Gerald Ford,Chicago State University,1975
2010-glenn-beck-liberty-university.txt,Glenn Beck,Liberty University,2010
1987-gloria-steinem-tufts-university.txt,Gloria Steinem,Tufts University,1987
1988-guido-calabresi-connecticut-college.txt,Guido Calabresi,Connecticut College,1988
2000-guy-kawasaki-babson-college.txt,Guy Kawasaki,Babson College,2000
2012-hank-aaron-marquette-university.txt,Hank Aaron,Marquette University,2012
1943-henry-a-wallace-connecticut-college.txt,Henry A. Wallace,Connecticut College,1943
2013-howard-gordon-connecticut-college.txt,Howard Gordon,Connecticut College,2013
2012-ira-glass-goucher-college.txt,Ira Glass,Goucher College,2012
2008-jk-rowling-harvard-university.txt,J.K. Rowling,Harvard University,2008
2008-jaclyn-rossi-niagara-university.txt,Jaclyn Rossi,Niagara University,2008
2013-james-carville-hobart-and-william-smith-colleges.txt,James Carville,Hobart and William Smith Colleges,2013
2010-jamie-hyneman-villanova-university.txt,Jamie Hyneman,Villanova University,2010
2012-jane-lynch-smith-college.txt,Jane Lynch,Smith College,2012
2014-janet-napolitano-northeastern-university.txt,Janet Napolitano,Northeastern University,2014
2014-janet-yellen-new-york-university.txt,Janet Yellen,New York University,2014
2009-jarl-mohn-usc-annenberg-school-for-communication-and-journalism.txt,Jarl Mohn,USC Annenberg School for Communication and Journalism,2009
2015-jason-kilar-university-of-north-carolina-at-chapel-hill.txt,Jason Kilar,University of North Carolina at Chapel Hill,2015
"2003-jean-andrews-university-of-texas,-austin.txt",Jean Andrews,"University of Texas, Austin",2003
2010-jeff-bezos-princeton-university.txt,Jeff Bezos,Princeton University,2010
2012-jefferson-smith-university-of-oregon.txt,Jefferson Smith,University of Oregon,2012
2010-jeffrey-sachs-connecticut-college.txt,Jeffrey Sachs,Connecticut College,2010
2007-jennie-cyran-niagara-university.txt,Jennie Cyran,Niagara University,2007
2014-jennifer-lee-university-of-new-hampshire.txt,Jennifer Lee,University of New Hampshire,2014
2009-jerry-yang-university-of-hawaii.txt,Jerry Yang,University of Hawaii,2009
2003-jerry-zucker-university-of-wisconsin.txt,Jerry Zucker,University of Wisconsin,2003
2008-jessica-lange-sarah-lawrence-college.txt,Jessica Lange,Sarah Lawrence College,2008
2014-jill-abramson-wake-forest-university.txt,Jill Abramson,Wake Forest University,2014
2014-jim-carrey-maharishi-university-of-management.txt,Jim Carrey,Maharishi University of Management,2014
2011-jim-steen-kenyon-college.txt,Jim Steen,Kenyon College,2011
2013-jimmy-iovine-university-of-southern-california.txt,Jimmy Iovine,University of Southern California,2013
2010-jimmy-tingle-harvard-university.txt,Jimmy Tingle,Harvard University,2010
2006-jodie-foster-university-of-pennsylvania.txt,Jodie Foster,University of Pennsylvania,2006
2011-joe-plumeri-college-of-william-and-mary.txt,Joe Plumeri,College of William and Mary,2011
2007-john-doerr-rice-university.txt,John Doerr,Rice University,2007
1962-john-f-kennedy-yale-university.txt,John F. Kennedy,Yale University,1962
1963-john-f-kennedy-american-university.txt,John F. Kennedy,American University,1963
2014-john-f-kerry-yale-university.txt,John F. Kerry,Yale University,2014
2010-john-jacob-scherer-roanoke-college.txt,John Jacob Scherer,Roanoke College,2010
2011-john-legend-kean-university.txt,John Legend,Kean University,2011
2014-john-legend-university-of-pennsylvania.txt,John Legend,University of Pennsylvania,2014
2008-john-mackey-bentley-college.txt,John Mackey,Bentley College,2008
2006-john-mccain-liberty-university.txt,John McCain,Liberty University,2006
2005-john-roberts-niagara-university.txt,John Roberts,Niagara University,2005
2015-john-seely-brown-arizona-state-university.txt,John Seely Brown,Arizona State University,2015
2000-john-walsh-wheaton-college.txt,John Walsh,Wheaton College,2000
2013-jon-lovett-pitzer-college.txt,Jon Lovett,Pitzer College,2013
2004-jon-stewart-college-of-william-and-mary.txt,Jon Stewart,College of William and Mary,2004
2013-jonathan-safran-foer-middlebury-college.txt,Jonathan Safran Foer,Middlebury College,2013
2009-jonathon-youshaei-deerfield-high-school.txt,Jonathon Youshaei,Deerfield High School,2009
1988-joseph-brodsky-university-of-michigan.txt,Joseph Brodsky,University of Michigan,1988
2013-joss-whedon-wesleyan-university.txt,Joss Whedon,Wesleyan University,2013
2010-julia-keller-dominican-university.txt,Julia Keller,Dominican University,2010
2010-julianna-margulies-sarah-lawrence-college.txt,Julianna Margulies,Sarah Lawrence College,2010
2011-kati-marton-central-european-university.txt,Kati Marton,Central European University,2011
2007-katie-couric-williams-college.txt,Katie Couric,Williams College,2007
2006-ken-burns-georgetown-university.txt,Ken Burns,Georgetown University,2006
1996-kermit-the-frog-southampton-college.txt,Kermit the Frog,Southampton College,1996
2010-kirk-schneider-san-francisco-state-university.txt,Kirk Schneider,San Francisco State University,2010
2005-kofi-annan-penn-state.txt,Kofi Annan,Penn State,2005
1974-kurt-vonnegut-hobart-and-william-smith-colleges.txt,Kurt Vonnegut,Hobart and William Smith Colleges,1974
1999-kurt-vonnegut-agnes-scott-college.txt,Kurt Vonnegut,Agnes Scott College,1999
"2007-larry-bock-university-of-california,-berkeley.txt",Larry Bock,"University of California, Berkeley",2007
2008-larry-lucchino-boston-university.txt,Larry Lucchino,Boston University,2008
2009-larry-page-university-of-michigan.txt,Larry Page,University of Michigan,2009
2012-lee-corso-florida-state-university.txt,Lee Corso,Florida State University,2012
1989-leonard-a-lauder-connecticut-college.txt,Leonard A. Lauder,Connecticut College,1989
2003-lewis-lapham-st-john’s-college.txt,Lewis Lapham,St. John’s College,2003
2010-lisa-kudrow-vassar-college.txt,Lisa Kudrow,Vassar College,2010
2012-louis-b-susman-connecticut-college.txt,Louis B. Susman,Connecticut College,2012
"1964-lyndon-baines-johnson-university-of-michigan,-ann-arbor.txt",Lyndon Baines Johnson,"University of Michigan, Ann Arbor",1964
2010-lynn-sherr-wellesley-college.txt,Lynn Sherr,Wellesley College,2010
2007-madeleine-albright-wellesley-college.txt,Madeleine Albright,Wellesley College,2007
1997-madeleine-albright-harvard-university.txt,Madeleine Albright,Harvard University,1997
1991-madeleine-l’engle-wellesley-college.txt,Madeleine L’Engle,Wellesley College,1991
2011-makoto-fujimura-belhaven-university.txt,Makoto Fujimura,Belhaven University,2011
1983-margaret-atwood-university-of-toronto.txt,Margaret Atwood,University of Toronto,1983
1995-margaret-j-geller-harvard-university.txt,Margaret J. Geller,Harvard University,1995
2006-margaret-spellings-montgomery-college.txt,Margaret Spellings,Montgomery College,2006
2012-maria-shriver-usc-annenberg-school-for-communication-and-journalism.txt,Maria Shriver,USC Annenberg School for Communication and Journalism,2012
2006-marian-fontana-massachusetts-school-of-law.txt,Marian Fontana,Massachusetts School of Law,2006
2009-marissa-mayer-illinois-institute-of-technology.txt,Marissa Mayer,Illinois Institute of Technology,2009
